WARNING 2019-06-13 14:53:25,335 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:53:25,562 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:53:25,579 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:53:25,633 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:53:25,639 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:53:25,656 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:53:25,670 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
INFO 2019-06-13 14:58:07,785 basehttp 154 "GET / HTTP/1.1" 200 13588
WARNING 2019-06-13 14:58:07,810 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
INFO 2019-06-13 14:58:07,829 basehttp 154 "GET /static/css/base/side.css HTTP/1.1" 304 0
WARNING 2019-06-13 14:58:07,836 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:58:07,854 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:07,856 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:07,861 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:07,875 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:07,877 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:58:07,887 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:07,889 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:58:07,909 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:07,912 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:58:07,918 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:58:07,926 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
INFO 2019-06-13 14:58:18,167 basehttp 154 "GET / HTTP/1.1" 200 13588
WARNING 2019-06-13 14:58:18,184 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:18,217 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:58:18,237 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:18,255 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:18,256 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:18,265 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:18,279 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:58:18,285 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:18,298 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:58:18,306 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:18,305 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:58:18,309 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:58:18,318 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
INFO 2019-06-13 14:58:19,750 basehttp 154 "GET / HTTP/1.1" 200 13588
WARNING 2019-06-13 14:58:19,772 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
